,avian,cattle,feline,other_mammal,human,other
0,blue-winged_teal,dairy_cow,cat,Mountain_Lion,Colorado,environment
1,barn_owl,,domestic_cat,savannah_cat,Wyoming,
2,swan,,,tiger,Texas,
3,wood_duck,,,bobcat,Washington,
4,sparrow,,,alpaca,Louisiana,
5,Bald_Eagle,,,bottlenose_dolphin,Nevada,
6,turkey,,,Striped_Skunk,British_Columbia,
7,emu,,,fox,Michigan,
8,ibis,,,macaque,California,
9,merganser,,,house_mouse,,
10,green-winged_teal,,,lynx,,
11,scoter,,,skunk,,
12,cattle,,,serval,,
13,American_wigeon,,,lion,,
14,bald_eagle,,,raccoon,,
15,Green_Winged_Teal,,,mountain_lion,,
16,great_black-backed_gull,,,cougar,,
17,chicken,,,harbor_seal,,
18,brandt_goose,,,red_fox,,
19,common_goldeneye,,,ermine,,
20,white-winged_scoter,,,goat,,
21,blue_jay,,,feline,,
22,western_gull,,,geoffroys_cat,,
23,bufflehead,,,swine,,
24,horned_grebe,,,,,
25,avian,,,,,
26,northern_pintail,,,,,
27,Red_Tailed_Hawk,,,,,
28,vulture,,,,,
29,ring-billed_gull,,,,,
30,poultry,,,,,
31,grackle,,,,,
32,domestic_duck,,,,,
33,Ross's_goose,,,,,
34,burrowing_owl,,,,,
35,domestic_goose,,,,,
36,red-shouldered_hawk,,,,,
37,sanderling,,,,,
38,gull,,,,,
39,American_Crow,,,,,
40,common_grackle,,,,,
41,turkey_vulture,,,,,
42,american_wigeon,,,,,
43,common_loon,,,,,
44,black_vulture,,,,,
45,Barred_Owl,,,,,
46,tundra_swan,,,,,
47,mute_swan,,,,,
48,cackling_goose,,,,,
49,surf_scoter,,,,,
50,owl,,,,,
51,heron,,,,,
52,Snow_Goose,,,,,
53,Wild-Bird,,,,,
54,American_black_duck,,,,,
55,guineafowl,,,,,
56,american_crow,,,,,
57,flamingo,,,,,
58,quail,,,,,
59,pelican,,,,,
60,Hooded_Merganser,,,,,
61,canada_goose,,,,,
62,european_starling,,,,,
63,Merlin,,,,,
64,peafowl,,,,,
65,pheasant,,,,,
66,hawk,,,,,
67,black-crowned_night-heron,,,,,
68,hooded_merganser,,,,,
69,trumpeter_swan,,,,,
70,Canada_goose,,,,,
71,great_horned_owl,,,,,
72,crested_caracara,,,,,
73,herring_gull,,,,,
74,Whistling_Swan,,,,,
75,guinea_fowl,,,,,
76,common_raven,,,,,
77,sandhill_crane,,,,,
78,ruddy_duck,,,,,
79,common_eider,,,,,
80,red-breasted_merganser,,,,,
81,mallard,,,,,
82,goose,,,,,
83,red-tailed_hawk,,,,,
84,Cackling_Goose,,,,,
85,falcon,,,,,
86,pigeon,,,,,
87,northern_shoveler,,,,,
88,dove,,,,,
89,gadwall,,,,,
90,American_crow,,,,,
91,peacock,,,,,
92,crow,,,,,
93,Cooper_s_Hawk,,,,,
94,Turkey,,,,,
95,double-crested_co,,,,,
96,crane,,,,,
97,Chicken,,,,,
98,ring-necked_duck,,,,,
99,peregrine_falcon,,,,,
100,coopers_hawk,,,,,
101,swallow,,,,,
102,snowy_owl,,,,,
103,duck,,,,,
104,american_robin,,,,,
105,Great_Horned_Owl,,,,,
106,redhead_duck,,,,,
107,Dunlin,,,,,
108,great_blue_heron,,,,,
109,American_white_pelican,,,,,
110,Canada_Goose,,,,,
111,BALD_EAGLE,,,,,
112,lesser_scaup,,,,,
113,blackbird,,,,,
114,ruddy_turnstone,,,,,
115,snow_goose,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
