variants
A/Switzerland/114/2023
A/Navarra/4050/2022
A/Catalonia/NSAV198309324/2024
A/Catalonia/NSAV600497186/2026
A/Catalonia/NSAV198289092/2023
A/Nordrhein-Westfalen/8/2022
A/Hessen/47/2020
A/Mecklenburg-Vorpommern/1/2021
A/Netherlands/10370-2/2020
A/Bretagne/24241/2021
A/Netherlands/11748/2022
A/Netherlands/Gent-193/2019
A/Pavia/65/2016
A/Netherlands/3315/2016
A/England/234600203/2023
A/Austria/1445532/2021
A/Netherlands/10534/2023
A/Greece/SRIHER-001/2022
A/Verona/2810/2009
