double_crested_cormorant,,,,,
brown_pelican,,,,,
black_legged_kittiwake,,,,,
blue_winged_teal,,,,,
rough-legged_hawk,,,,,
northern_gannet,,,,,
bonapartes_gull,,,,,
waterfowl,,,,,
snowy_egret,,,,,
great_black-backed_gulll,,,,,
domestic_goose,,,,,
snowy_plover,,,,,
american_coot,,,,,
white-winged_scoter,,,,,
redhead_duck,,,,,
whistling_swan,,,,,
greater_scaup,,,,,
broad_winged_hawk,,,,,
teal,,,,,
razorbill,,,,,
gannet,,,,,
ruddy_turnstone,,,,,
mottled_duck,,,,,
short-tailed_shearwaters,,,,,
neotropic_cormorant,,,,,
raven,,,,,
manx_shearwater,,,,,
rossss_goose,,,,,
western_sandpiper,,,,,
ferruginous_hawk,,,,,
california_condor,,,,,
great_shearwater,,,,,
ruffed_grouse,,,,,
great_grey_owl,,,,,
merlin,,,,,
glaucous_gull,,,,,
lesser_white-fronted_goose,,,,,
rough_legged_hawk,,,,,
cormorant,,,,,
sandwich_tern,,,,,
silkie_chicken,,,,,
western_screech_owl,,,,,
raptor,,,,,
bar-headed_goose,,,,,
western_grebe,,,,,
harriss_hawk,,,,,
green_heron,,,,,
horned_grebe,,,,,
corvus_ossifragus,,,,,
ring-necked_pheasant,,,,,
short-billed_gull,,,,,
black-legged_kittiwake,,,,,
pintail,,,,,
eastern_screech_owl,,,,,
sparrow,,,,,
california_gull,,,,,
willet,,,,,
broiler_breeders_chicken,,,,,
american_blue_winged_teal,,,,,
franklins_gull,,,,,
sharp_shinned_hawk,,,,,
iceland_gull,,,,,
great_black_backed_gull,,,,,
european starling,,,,,
common grackle,,,,,
rock pigeon,,,,,
western gull,,,,,
common raven,,,,,
great blue heron,,,,,
american robin,,,,,
red-shouldered hawk,,,,,
american wigeon,,,,,
western kingbird,,,,,
double-crested cormorant,,,,,
snowy owl,,,,,
snow goose,,,,,
crested caracara,,,,,
cago,,,,,
red-breasted merganser,,,,,
comon-grackle,,,,,
herring gull,,,,,
blue jay,,,,,
bald eagle,,,,,
ruddy duck,,,,,
canada goose,,,,,
white-winged dove,,,,,
pefa,,,,,
red-tailed hawk,,,,,
wood duck,,,,,
black billed magpie,,,,,
black-crowned night-heron,,,,,
white-faced ibis,,,,,
great horned owl,,,,,
trumpeter swan,,,,,
northern shoveler,,,,,
common goldeneye,,,,,
american woodcock,,,,,
green-winged teal,,,,,
mallard x american black duck hybrid,,,,,
ring-billed gull,,,,,
tundra swan,,,,,
hosp,,,,,
cooper's hawk,,,,,
barn owl,,,,,
american black duck,,,,,
mute swan,,,,,
turkey vulture,,,,,
hooded merganser,,,,,
black vulture,,,,,
house sparrow,,,,,
cackling goose,,,,,
american crow,,,,,
eurasian collared dove,,,,,
northern pintail,,,,,
burrowing owl,,,,,
sandhill crane,,,,,
guinea fowl,,,,,
red tailed hawk,,,,,
western sandpiper,,,,,
ganada goose,,,,,
harris hawk,,,,,
falco peregrinus,,,,,
common eider,,,,,
great black-backed gull,,,,,
common merganser,,,,,
house_sparrow,,,,,
mallard-black_duck_hybrid,,,,,
peregrine ,,,,,
chukar,,,,,
tern,,,,,
backyard_chicken,,,,,
southern_fulmar,,,,,
sterna_hirundo,,,,,
backyard_turkey,,,,,
wildbird-fregata-magnificens,,,,,
numida_meleagris,,,,,
southamerican_tern,,,,,
great_grebe,,,,,
pelecanus_thagus,,,,,
wildbird-sula-nebouxii,,,,,
peruvian_booby,,,,,
belcher_gull,,,,,
chiloe_wigeon,,,,,
buteogallus_urubitinga,,,,,
blackish_oystercatcher,,,,,
thalasseus_maximus,,,,,
pelecanus,,,,,
buff-necked_ibis,,,,,
thalasseus_acuflavidus,,,,,
megascops_choliba,,,,,
calidris_alba,,,,,
peruvean_booby,,,,,
black-necked_swan,,,,,
brown_booby,,,,,
procellaria_aequinoctialis,,,,,
franklin_gull,,,,,
frigatebird,,,,,
chilean_teal,,,,,
south_polar_skua,,,,,
elegant_tern,,,,,
south_american_tern,,,,,
backyard_duck,,,,,
sula_leucogaster,,,,,
band-tailed_gull,,,,,
gray_gull,,,,,
great_grabe,,,,,
franklin's_gull,,,,,
guanay_cormorant,,,,,
kelp_gull,,,,,
inca_tern,,,,,
pelecanus_occidentalis,,,,,
humboldt_penguin,,,,,
pluvialis_dominica,,,,,
gallus_gallus,,,,,
antarctic_tern,,,,,
brown_skua,,,,,
south_georgia_shag,,,,,
athene cunicularia,,,,,
accipitridae,,,,,
numididae,,,,,
cairina moschata,,,,,
corvus,,,,,
gallus gallus,,,,,
scolopax minor,,,,,
meleagris gallopavo,,,,,
anatidae,,,,,
passer domesticus,,,,,
pavo,,,,,
gruidae,,,,,
pelecanidae,,,,,
bubo virginianus,,,,,
anser caerulescens,,,,,
corvus brachyrhynchos,,,,,
columba livia,,,,,
turdus migratorius,,,,,
galliformes,,,,,
calidris mauri,,,,,
phoenicopterus roseus,,,,,
gyps fulvus,,,,,
aves,,,,,
dromaius novaehollandiae,,,,,
ardea herodias,,,,,
mareca americana,,,,,
branta hutchinsii,,,,,
turdus merula,,,,,
branta canadensis,,,,,
streptopelia decaocto,,,,,
phasianinae,,,,,
bubo scandiacus,,,,,
numididae sp.,,,,,
anas carolinensis,,,,,
buteo jamaicensis,,,,,
nycticorax nycticorax,,,,,
strigidae,,,,,
columbidae,,,,,
mareca strepera,,,,,
tyto alba,,,,,
alectoris chukar,,,,,
corvus corax,,,,,
cygnus olor,,,,,
buteo lineatus,,,,,
aix sponsa,,,,,
cathartes aura,,,,,
zenaida asiatica,,,,,
anas platyrhynchos,,,,,
haliaeetus leucocephalus,,,,,
larus occidentalis,,,,,
icteridae,,,,,
lophodytes cucullatus,,,,,
common_eiders,,,,,
accipiter cooperii,,,,,
parabuteo unicinctus,,,,,
northern_fulmar,,,,,
black scoter,,,,,
brandt goose,,,,,
surf scoter,,,,,
great black-backed gulll,,,,,
common loon,,,,,
white-winged scoter,,,,,
corvus ossifragus,,,,,
lesser scaup,,,,,
peregrine,,,,,
rock_goose,,,,,
sand_crane,,,,,
american_green-winged_teal,,,,,
bonaparte's_gull,,,,,
sharp-shinned_hawk,,,,,
sharp-shinned hawk,,,,,
bonaparte's gull,,,,,
american coot,,,,,
greater scaup,,,,,
snowy egret,,,,,
barred owl,,,,,
glaucous gull,,,,,
rock goose,,,,,
sand crane,,,,,
ross's goose,,,,,
great egret,,,,,
guinea,,,,,
perdicinae,,,,,
anas_platyrhynchos,,,,,
brown-headed_gull,,,,,
phalacrocorax_carbo,,,,,
pelecanus_conspicillatus,,,,,
rural_goose,,,,,
strix_uralensis,,,,,
european_herring_gull,,,,,
golden_eagle,,,,,
northem_pintail,,,,,
towny_owel,,,,,
red-fox,,,,,
chroicocephalus_ridibundus,,,,,
common_pheasant_,,,,,
ardea_cinerea,,,,,
white_stork_,,,,,
_rough-legged_buzzard_,,,,,
cygnus_atratus,,,,,
pochard_duck,,,,,
larus_argentatus,,,,,
common-kingfisher,,,,,
western_barn_owl,,,,,
common_guillemot,,,,,
whooper-swan,,,,,
brant_goose,,,,,
hooded_crane,,,,,
luscinia_cyane,,,,,
oystercatcher,,,,,
perigrine_falcon,,,,,
laying-hen,,,,,
eurasian_eagle_owl,,,,,
bean_goose,,,,,
cormorants,,,,,
gypaetus_barbatus,,,,,
pink_footed_goose,,,,,
buteo_buteo,,,,,
guinea_fowl-chicken,,,,,
green_sandpiper,,,,,
common-shelduck,,,,,
common-kestrel,,,,,
western_marsh_harrier,,,,,
ichtyaetus_melanocephalus,,,,,
wild_geese,,,,,
kittiwake,,,,,
mixed_domestic_phasianidae,,,,,
reed_warbler,,,,,
pica_pica,,,,,
spot-billed_duck,,,,,
pavo_cristatus,,,,,
lesser_black-backed_gull_,,,,,
indian_peafowl,,,,,
anser_albifrons,,,,,
mediterranean_gull,,,,,
painted_stork,,,,,
common_buzzard_,,,,,
larus,,,,,
grey_goose,,,,,
red-breasted_goose,,,,,
black_headed_seagull,,,,,
falcated_duck,,,,,
european_herringgull,,,,,
crested_auklet,,,,,
common_gull_,,,,,
rhea,,,,,
pelecanus_crispus,,,,,
sacred-ibis,,,,,
red-crowned_crane,,,,,
gull10,,,,,
tachybaptus_ruficollis,,,,,
jungle_crow,,,,,
greylag_goose,,,,,
eurasian_goshawk,,,,,
_peregrine_falcon_,,,,,
_eurasian_eagle-owl,,,,,
common_gull,,,,,
sand_piper,,,,,
greylaggoose,,,,,
common_pochard,,,,,
red_knot,,,,,
anser_brachyrhynchus,,,,,
breeding_hen,,,,,
lapwing,,,,,
brahma_chicken,,,,,
kestrel,,,,,
cairina_moschata,,,,,
notherngannet,,,,,
black_faced_spoonbill,,,,,
greater_rhea,,,,,
white_peacock,,,,,
lesser_auk,,,,,
anas_platyrhynchos_domesticus,,,,,
black-throated_crane,,,,,
numenius_arquata,,,,,
ural_owl,,,,,
ornamental_bird,,,,,
aalopochen_aegyptiaca,,,,,
coscoroba_swan,,,,,
domestic-goose,,,,,
anser_cygnoides,,,,,
slender-billed_gull,,,,,
white_tailed_eagle,,,,,
_european_herring_gull,,,,,
spotbill_duck,,,,,
rural_chicken,,,,,
gallus_gallus_domesticus,,,,,
common_magpie,,,,,
mule_duck,,,,,
corvus_monedula,,,,,
pomeranian_goose,,,,,
gull-billed_tern,,,,,
eurasian-wigeon,,,,,
white-fronted_goose,,,,,
g_c_grebe,,,,,
geese,,,,,
mute-swan,,,,,
greater_canada_goose,,,,,
m_swan,,,,,
korean_native_chicken,,,,,
great_black-headed_gull,,,,,
common_crane,,,,,
mixed_wild_birds,,,,,
whiskered_tern,,,,,
red-backed-hawk,,,,,
rural_turkey,,,,,
graylag_goose,,,,,
tyto_alba,,,,,
crowned_crane_zoo,,,,,
emy,,,,,
tawny_owl,,,,,
podiceps_cristatus,,,,,
larus_ridibundus,,,,,
black_headed_gull,,,,,
curlew,,,,,
shoveler,,,,,
dalmatian_pelican,,,,,
little_gull,,,,,
black-tailed_gull,,,,,
nothern_gannet,,,,,
rural_laying_hen,,,,,
chichen,,,,,
zoo_pelican,,,,,
pilgrim_falcon,,,,,
hens,,,,,
little_owl,,,,,
cygnus-columbianus,,,,,
european_herring_gullnorway,,,,,
p_falcon,,,,,
egyptian_goose,,,,,
em,,,,,
cygnus-cygnus,,,,,
anser_fabalis,,,,,
bar_headed_goose,,,,,
green-winged-teal,,,,,
herrin_gull,,,,,
grey_heron_,,,,,
stork,,,,,
l-bl-ba-gull,,,,,
carrion_crow,,,,,
_peregrine_falcon,,,,,
indian_runner_ducks,,,,,
rooster,,,,,
muteswan,,,,,
branta_leucopsis,,,,,
great_crested_grebe,,,,,
hobby_falcon,,,,,
ciconia_ciconia,,,,,
mulard_duck,,,,,
yellow-legged-gull,,,,,
pine_marten,,,,,
greater_canada_goose_,,,,,
black-legged_kitiwake,,,,,
commontern,,,,,
eurasian_wigeon,,,,,
blach-headed_gull,,,,,
common_golden_eye,,,,,
bl_h_gull,,,,,
kestral,,,,,
anas_platyrhynchos_domestica,,,,,
common_peacock,,,,,
common_buzzard,,,,,
larus_marinus,,,,,
ancient_murrelet,,,,,
common_quail,,,,,
bubo_bubo,,,,,
large-billed_crow,,,,,
common-buzzard,,,,,
gray_heron,,,,,
greylag_goose_,,,,,
otus_scops,,,,,
shelduck,,,,,
short-eared_owl,,,,,
cignus_olor,,,,,
duck_muscovy,,,,,
grebe,,,,,
yellow-legged_gull,,,,,
jackdaw,,,,,
rissa_tridactyla,,,,,
ruddy_shelduck,,,,,
knot_wader,,,,,
duck_,,,,,
audouins_gull,,,,,
great_black-baked_gull,,,,,
spatula_querquedula,,,,,
gray_lag_goose,,,,,
rural_duck,,,,,
haliaeetus_albicilla,,,,,
mixed_domestic_anatidae,,,,,
whistling_duck,,,,,
black_kite,,,,,
european_robin,,,,,
peregrine-falcon,,,,,
goshawk,,,,,
long-eared_owl,,,,,
great_skua,,,,,
black-backed_gull,,,,,
mandarin_duck,,,,,
black-headed_gull_,,,,,
c_gull,,,,,
great_cormorant,,,,,
harbour_seal,,,,,
bird,,,,,
caspian_gull,,,,,
tufted_duck,,,,,
bulbul,,,,,
morus_bassanus,,,,,
yellow_legged-gull,,,,,
guinea-fowl,,,,,
falco_peregrinus,,,,,
baikal_teal,,,,,
larus_cachinnans,,,,,
eurasian_spoonbill,,,,,
gr_bk_bd_gull,,,,,
bk_swan,,,,,
cygnus_olor,,,,,
harris_hawk,,,,,
slaty-backed_gull,,,,,
hering_gull,,,,,
moorhen,,,,,
anser_anser_domesticus,,,,,
domestic-duck,,,,,
black-headed-gull,,,,,
_great_cormorant_,,,,,
aythya_fuligula,,,,,
bufflehead_duck,,,,,
anser,,,,,
common_teal,,,,,
common_snipe,,,,,
cape_barren_goose,,,,,
armenian_gull,,,,,
carolina_duck,,,,,
streptopelia_decaocto,,,,,
white_stork,,,,,
guillemot,,,,,
pink-footed_goose,,,,,
eurasian_curlew,,,,,
chiken,,,,,
falcated_teal,,,,,
coot,,,,,
little-owl,,,,,
common_tern_,,,,,
europian_wigeon,,,,,
wigeon,,,,,
brent_goose,,,,,
holland_pigeon,,,,,
black-headed_gull,,,,,
fulmar,,,,,
eurasian_eagle-owl,,,,,
canadagoose,,,,,
little_egret,,,,,
madarin_duck,,,,,
northern_lapwing,,,,,
little_grebe,,,,,
european_turtle_dove,,,,,
european_herring_gull_,,,,,
peregrine_falcon_,,,,,
ardea_alba,,,,,
_greylag_goose,,,,,
withe-tiled_eagle,,,,,
egretta_garzetta,,,,,
hen,,,,,
bearded_vulture,,,,,
greylag-goose,,,,,
canade_goose,,,,,
eur_wig,,,,,
barnacle_goose_,,,,,
eurasian_jay,,,,,
columba_palumbus,,,,,
europeanherringgull,,,,,
larus_michahellis,,,,,
white-naped_crane,,,,,
garganey,,,,,
taiga_bean_goose,,,,,
eurasian_goshawk_,,,,,
australian_brushturkey,,,,,
